HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
Diana,2003,w
Nelson,2006,m
Pinocchio,2011,m
Chanel,2013,w
Favia v. Dorfbach,2009,w
Xenos,2003,m
Jassu,2004,m
Jury,2003,m
Chester,2012,m
Birbi,2006,w
Azzurro,2009,m
Mirco,2001,m
Aki,2014,w
Olaf,2010,m
Sändy (Cindy),2007,w
Kiru (Cartonn des trois G),2007,m
Seppi,2013,m
Lion,2008,m
Enya,2006,w
Gambra,2011,w
PepperMint,2010,w
Dubi,2014,m
Lucky,2000,m
Chica,2011,w
Mimi,2006,w
Jetta,2009,w
Zorro,2007,m
Jamba,2012,w
Kimba,2010,w
Buddy,2000,m
Tamara,2009,w
Billy Kid,2011,w
Artus,2008,m
Piccolino,2004,m
Franky,2006,m
Chiyo,2012,w
Hutch,2006,m
Sophie,2011,w
Minousch,2001,m
Hug me Dark Devil,2003,m
Ya'Lilly (Lilly),2009,w
Chiara,2011,w
Tijuana,2011,w
Lila,2009,w
Max,2010,m
Sascha,2009,w
Schiwa,2009,w
Wilma,2008,w
Gibson,2014,m
Akando-Abucco v. Ritters Glück,2014,m
Sanna,2000,w
Churchill (Maki von Càk),2007,m
Flip,2007,m
Honey Pralina,2012,w
Nike,2001,w
Sheila (Winnie),2005,w
Sumo,2010,m
Molly (Quinta Beata),2010,w
Samson,2012,m
Jinny,2003,w
Chicco,2009,m
Lily,2007,w
Mel de Andrade,2010,w
Mica,2009,w
Dylan (Carlos),2009,m
Lucky Star,2012,m
Puma,2014,m
Frodo,2009,m
Vöri,2004,m
Pinky,2004,m
Sila,2014,w
Rocca,2014,w
Najko,2003,m
Lady Pepper,2005,w
Sheila,2000,w
Blacky,2011,m
Finn,2009,m
Balduin,2014,m
Felix,2007,m
Milka,2004,w
Cindy,2000,w
Jsa,2001,w
Gimli,2012,m
Jule,2007,w
Unia,2012,w
Lula,2002,w
Malibu,2014,m
Schöggeli,2006,w
Chicca,2003,w
Shira,2009,w
Scotty of Black,2011,m
Birba (Queudolin),2008,w
Noé,2013,w
Cachaca,2013,w
Kimba,2010,w
Socke,2012,w
Manoi (Falco),2010,m
Emma,2008,w
Nikki,2006,w
Tiffany,2005,w
Cristal,2008,w
