HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
JJ (Jack Junior),2012,m
Momo,2013,w
Boubou,2005,m
Pasu,2014,m
Fritzi,2012,w
Masa,2012,w
Lasco,2000,m
Kayla (Orca-Kira v. Breitland),2015,w
Sunny,2009,m
Mogli,2003,m
Glüna,2008,w
Jacky,2014,m
Luna,2006,w
Filou,2013,m
Ringo,2006,m
Luna,2007,w
Luna,2007,w
Mocca,2006,w
Blacky,2007,m
Aron,2012,m
Rax,2008,m
Nizza,2010,w
Ruby,2014,w
Bobby,2013,m
Bonny,2004,w
Laana,2013,w
Bay,2006,w
Troli,2001,m
Belinda,2014,w
Miro,2004,m
Paco,2010,m
Ouna,2014,w
Muma,2011,w
Sammy,2012,m
Joschy,1998,m
Chicco,2005,m
Beule,2005,m
Chicco,2010,m
Gin,2012,w
Freddie,2011,m
Scotti,2009,m
Zucca,2011,w
Konan,2008,m
Kaya,2010,w
Gina,2005,w
Tosca,2011,w
Uorsa,2012,w
Finette (Bubu),2006,w
Gina,2009,w
Mila,2010,w
Mailo,2014,m
Chiara,2012,w
Milo,2008,m
Freaky,2013,m
Dwayne,2012,m
Pepina,2008,w
Samira,2012,w
Jules,2004,m
Mavra,2010,w
Sheila (Kia),2012,w
Laika,2003,w
Minusch,2010,w
Ballou,2015,m
Quinto,2001,m
Teddy vom Ammeler Forst,2015,w
Filaris,2008,m
Philo,2013,m
Sunny (Sunny Boy),2008,m
Boubou,2002,m
Kellogs Crunch,2002,w
Thor,2007,m
Sophia,2009,w
Frieda,2013,w
Momo (Xyno),2012,m
Jessy,2006,w
Camena,2006,w
Batman,2013,m
Samira,1980,w
Puppi,2010,w
Tschesi,2012,m
Akira-Vidi,2015,w
Sändy,2005,w
Balu,2013,m
Siri,2012,w
Matilda,2002,w
Rexli,1998,m
Luan (Nestory),2013,m
Janni,2003,w
Dido,2005,m
Gonchy,2013,w
Shamun-Erasmus,2007,m
whity (Osmar),2003,m
Penny,2011,w
Laila,2008,w
Frido,2012,m
Bobina,2000,w
